ano,cbo2002,empregados,renda_sm
1986,715145,16219,53014.1
1986,715205,3085,7205.89
1986,715210,226330,597424.75
1986,715215,220,862.45
1986,715220,3492,19137.73
1986,715225,2,3.65
1986,715230,16964,49157.5
1986,715305,37873,106295.31
1986,715310,4,15.69
1986,715315,5528,16224.5
1986,715405,566,1298.37
1986,715415,582,2022.75
1986,715505,90600,263888.72
1986,715510,11295,24090.21
1986,715515,295,1553.4
1986,715520,14,22.44
1986,715525,33659,97977.94
1986,715530,4,11.3
1986,715535,5223,15101.18
1986,715545,559,1738.27
1986,715605,203,804.99
1986,715610,28524,97400.99
1986,715615,38014,146596.48
1986,715705,1,2.42
1986,715710,29,63.84
1986,715715,310,1218.79
1986,715720,528,2133.59
1986,715725,258,799.69
1986,715730,5,9.76
1986,716105,239,720.14
1986,716110,130,341.93
1986,716205,310,615.42
1986,716210,1025,2497.4
1986,716215,92,242.18
1986,716220,38,93.8
1986,716305,21188,52575.83
1986,716310,162,415.75
1986,716315,85,187.03
1986,716405,888,1931.07
1986,716505,387,1069.41
1986,716510,1232,3309.79
1986,716515,285,863.09
1986,716520,338,674.63
1986,716525,807,1910.83
1986,716530,82,138.28
1986,716535,19620,38479.57
1986,716605,156,297.2
1986,716610,28189,80616.34
1986,716615,222,519.95
1986,717005,9,16.07
1986,717010,4948,15400.57
1986,717015,376,955.85
1986,717020,2,2.21
1986,720110,2135,10862.47
1986,720125,26612,264558.45
1986,720130,6389,23954.9
1986,720140,21184,82056.56
1986,720145,2888,12196.66
1986,720160,2873,12624.81
1986,720205,1213,10163.89
1986,720210,3805,51857.84
1986,720215,14486,141034.91
1986,721105,58317,319945.37
1986,721110,394,3137.55
1986,721115,1276,9458.32
1986,721205,45565,218174.62
1986,721210,35963,145708.1
1986,721215,124465,665317.35
1986,721220,10266,69585.16
1986,721225,15837,110394.5
1986,721305,10,62.56
1986,721310,120,315.3
1986,721315,3384,25409.6
1986,721320,588,1675.23
1986,721325,48098,113718.23
1986,721405,72,240.68
1986,721410,1,1.45
1986,721415,3062,27771.18
1986,721425,1,1.38
1986,721430,2,12.23
1986,722105,36808,152357.58
1986,722110,376,2250.72
1986,722115,1083,4823.3
1986,722205,17175,61148.98
1986,722210,1136,5827.5
1986,722215,16,76.45
1986,722220,278,910.26
1986,722225,1084,5326.03
1986,722230,3,7.32
1986,722305,6337,22013.51
1986,722310,854,2990.25
1986,722315,4052,15747.27
1986,722320,3355,13620.02
1986,722325,1857,8837.29
1986,722410,167,819.84
1986,722415,4815,21312.2
1986,723105,88,457.63
1986,723110,102,623.19
1986,723115,10,62.2
1986,723120,2695,15566.67
1986,723125,789,4396.3
1986,723205,790,3950.35
1986,723210,252,1243.78
1986,723215,11469,28017.01
1986,723220,93,484.27
1986,723225,519,2464.2
1986,723230,212,816.32
1986,723235,871,3363.72
1986,723240,87,267.22
1986,723310,3924,10867.6
1986,723315,5059,17342.94
1986,723320,18419,71720.17
1986,723325,487,1589.96
1986,723330,7956,28173.77
1986,724105,454,1661.66
1986,724110,24296,101044.03
1986,724115,5575,26731.14
1986,724120,17,57.82
1986,724125,452,1923.62
1986,724130,619,2859.16
1986,724135,132,484
1986,724205,11912,41260.67
1986,724210,467,2054.38
1986,724215,201,575.68
1986,724220,341,1072.86
1986,724225,1038,5523.76
1986,724230,64,127.4
1986,724305,203,840.34
1986,724310,3113,13828.31
1986,724315,64253,295062.29
1986,724320,2555,10398.24
1986,724325,9485,45736.65
1986,724405,1285,7840.87
1986,724410,11871,76558.56
1986,724415,4524,15169.24
1986,724420,4161,21503.89
1986,724425,1405,6339.99
1986,724430,1160,9941.99
1986,724435,15182,64821.13
1986,724440,49237,157048.84
1986,724505,333,1307.52
1986,724510,1196,4693.36
1986,724515,23,92.94
1986,724605,1241,6110.82
1986,725010,32395,159097.48
1986,725015,3195,19786.33
1986,725020,2179,12051.55
1986,725105,9682,42014.35
1986,725205,12594,62213.14
1986,725210,138,743.86
1986,725215,257,1052.09
1986,725220,392,2239.97
1986,725225,844,4044.81
1986,725305,309,1416.44
1986,725310,3147,11409.37
1986,725315,84,272.74
1986,725320,286,1713.29
1986,725405,98,574.56
1986,725410,180,891.91
1986,725415,1662,8729.96
1986,725420,70,257.35
1986,725605,205,1654.44
1986,725610,3,17.26
1986,725705,666,2530.26
1986,730105,16893,139147.99
1986,731105,1043,3302.8
1986,731110,2453,7818.92
1986,731115,1907,9203.27
1986,731120,2637,8296.75
1986,731125,981,5931.84
1986,731130,1421,4565.79
1986,731135,35173,119164.45
1986,731140,260,670.73
1986,731145,521,2837.04
1986,731150,41955,137103.11
1986,731155,2325,13685.47
1986,731160,2510,8296.27
1986,731165,1287,5509.15
1986,731170,1714,5653.99
1986,731175,4118,11979.92
1986,731180,7440,22334.72
1986,731205,508,1544.09
1986,731305,3314,18903.58
1986,731315,1445,10201.04
