ano,cbo2002,empregados
2015,131110,2206
2016,131110,1595
1986,131115,97
1987,131115,92
1988,131115,101
1989,131115,89
1990,131115,87
1991,131115,84
1992,131115,78
1993,131115,76
1994,131115,78
1995,131115,82
1996,131115,77
1997,131115,87
1998,131115,92
1999,131115,88
2000,131115,93
2001,131115,101
2002,131115,102
2003,131115,4308
2004,131115,4408
2005,131115,4860
2006,131115,5105
2007,131115,5420
2008,131115,5836
2009,131115,6202
2010,131115,7096
2011,131115,7539
2012,131115,7451
2013,131115,8016
2014,131115,8048
2015,131115,8005
2016,131115,6862
1986,131120,12
1987,131120,12
1988,131120,12
1989,131120,13
1990,131120,12
1991,131120,12
1992,131120,10
1993,131120,10
1994,131120,10
1995,131120,10
1996,131120,10
1997,131120,11
1998,131120,10
1999,131120,11
2000,131120,12
2001,131120,15
2002,131120,15
2003,131120,1840
2004,131120,2045
2005,131120,2409
2006,131120,2613
2007,131120,2905
2008,131120,3472
2009,131120,4120
2010,131120,4660
2011,131120,5292
2012,131120,5345
2013,131120,6069
2014,131120,6221
2015,131120,6224
2016,131120,5609
1986,131205,275
1987,131205,275
1988,131205,283
1989,131205,292
1990,131205,276
1991,131205,258
1992,131205,233
1993,131205,275
1994,131205,247
1995,131205,237
1996,131205,238
1997,131205,229
1998,131205,225
1999,131205,222
2000,131205,216
2001,131205,247
2002,131205,259
2003,131205,5476
2004,131205,4969
2005,131205,5459
2006,131205,5636
2007,131205,6194
2008,131205,5697
2009,131205,6414
2010,131205,6760
2011,131205,5182
2012,131205,6513
2013,131205,7605
2014,131205,7693
2015,131205,7419
2016,131205,6337
1986,131210,193
1987,131210,208
1988,131210,222
1989,131210,232
1990,131210,237
1991,131210,242
1992,131210,269
1993,131210,325
1994,131210,320
1995,131210,318
1996,131210,290
1997,131210,307
1998,131210,277
1999,131210,295
2000,131210,308
2001,131210,307
2002,131210,306
2003,131210,3994
2004,131210,3717
2005,131210,4134
2006,131210,15335
2007,131210,15375
2008,131210,15403
2009,131210,16417
2010,131210,17214
2011,131210,17850
2012,131210,17449
