Nome,Bolsista,Doutorado,Professor
Reinaldo Ramos de Carvalho ,Bolsista de Produtividade em Pesquisa 1B | Orientador de Doutorado,"Doutorado em Astronomia pelo Observatório Nacional, Brasil(1988)",NA
José Viterbo Filho ,NA,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2009)","Professor Adjunto 1 da Universidade Federal Fluminense , Brasil"
Stênio Flávio de Lacerda Fernandes ,Bolsista de Produtividade em Pesquisa 2(***),"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2006)","Professor Adjunto da Universidade Federal de Pernambuco , Brasil"
Solange Alfinito ,NA,"Doutorado em Psicologia Social, do Trabalho e das Organizações (Psto) pela Universidade de Brasília, Brasil(2009)","Professora Associada da Universidade de Brasília , Brasil"
Rodrigo Clemente Thom de Souza ,NA,"Doutorado em Métodos Numéricos em Engenharia pela Universidade Federal do Paraná, Brasil(2013)","Professor Adjunto C1 da Universidade Federal do Paraná , Brasil"
Juliana Veiga Cavalcanti ,NA,"Doutorado em Fisiopatologia Clínica e Experimental pela Universidade do Estado do Rio de Janeiro, Brasil(2010)","Professora do Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro , Brasil"
Luiz Eduardo Vicente ,NA,"Doutorado em Geografia pela Universidade Estadual de Campinas, Brasil(2007)",NA
Regiani Aparecida Santos Zacarias ,NA,"Doutorado em Estudos da Linguagem pela Universidade Estadual de Londrina, Brasil(2011)",NA
Pedro Henrique Melo Albuquerque ,NA,"Doutorado em Administração pela Universidade de Brasília, Brasil(2012)","Professor Adjunto da Universidade de Brasília , Brasil"
Vinicius Amorim Sobreiro ,NA,"Doutorado em Engenharia de Produção Mecânica pela Universidade de São Paulo - Escola de Engenharia de São Carlos, Brasil(2012)","Professor Adjunto III da Universidade de Brasília , Brasil"
Gilney Figueira Zebende ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Física pela Universidade Federal Fluminense, Brasil(1999)","Professor Titular da Universidade Estadual de Feira de Santana , Brasil"
André Lima Férrer de Almeida ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Automática, Processamento de Sinais e Imagens pelo Université de Nice Sophia Antipolis, França(2007)","Professor Adjunto IV da Universidade Federal do Ceará , Brasil"
Cleiton Carvalho Silva ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia e Ciência de Materiais pela Universidade Federal do Ceará, Brasil(2010)","Professor Adjunto da Universidade Federal do Ceará , Brasil"
Jerusa Smid ,NA,"Doutorado em Medicina (Neurologia) pela Universidade de São Paulo, Brasil(2011)",NA
Cintia Regina Tornisiello Katz ,NA,"Doutorado em Odontologia (Odontopediatria) pela Universidade de Pernambuco, Brasil(2003)","Professora Adjunta da Universidade Federal de Pernambuco , Brasil"
Luis Cláudius Coradine ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1993)","Professor Associado IV da Universidade Federal de Alagoas , Brasil"
Luiz Felipe Cestari Dumont ,NA,"Doutorado em Oceanografia Biológica pela Universidade Federal do Rio Grande, Brasil(2008)","Professor Adjunto I da Universidade Federal do Rio Grande , Brasil"
Thiago Verano Braga ,NA,"Doutorado em Bioquímica e Imunologia pela Universidade Federal de Minas Gerais, Brasil(2009)","Professor Adjunto da Universidade Federal de Minas Gerais , Brasil"
Fernando Fernandes Paiva ,NA,"Doutorado em Física pela Universidade de São Paulo, Brasil(2008)","Professor Doutor da Universidade de São Paulo , Brasil"
Ricardo Lourenco Correia Ogando ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Física pela Universidade Federal do Rio de Janeiro, Brasil(2007)",NA
Afonso Celso de Castro Lemonge ,Bolsista de Produtividade em Pesquisa 1D,"Doutorado em Engenharia Civil pelo Instituto Alberto Luiz Coimbra de Pós Graduação e Pesquisa de Engenharia, Brasil(1999)","Professor Titular da Universidade Federal de Juiz de Fora , Brasil"
Evandro Eduardo Seron Ruiz ,NA,"Doutorado em Electronic Engineering pelo Univertity Of Kent, Inglaterra(1996)","Professor Associado da Universidade de São Paulo , Brasil"
Márcio Falcão Santos Barroso ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Minas Gerais, Brasil(2006)",NA
Carlos Alberto Policiano Almeida ,NA,"Doutorado em Química pela Universidade Federal de Santa Catarina, Brasil(2005)","Professor Adjunto D da Universidade Estadual do Centro-Oeste , Brasil"
Edson Luiz Cataldo Ferreira ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Mecânica pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2000)","Professor Titular da Universidade Federal Fluminense , Brasil"
Carlos Ernani Fries ,NA,"Doutorado em Engenharia de Produção pela Universidade Federal de Santa Catarina, Brasil(2013)","Professor Assistente da Universidade Federal de Santa Catarina , Brasil"
Pedro Augusto Munari Junior ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2013)","Professor Adjunto da Universidade Federal de São Carlos , Brasil"
Thales Sehn Körting ,NA,"Doutorado em Sensoriamento Remoto pelo Instituto Nacional de Pesquisas Espaciais, Brasil(2012)","Professor Titular do Instituto Nacional de Pesquisas Espaciais , Brasil"
Claudio Vescia Zanini ,NA,"Doutorado em Letras pela Universidade Federal do Rio Grande do Sul, Brasil(2011)",NA
Leandro Utino Taniguchi ,NA,"Doutorado em Medicina (Ciências Médicas) pela Universidade de São Paulo, Brasil(2009)",NA
Carlos Alberto Kamienski ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2003)","Professor Titular da Universidade Federal do ABC , Brasil"
Amaury Antônio de Castro Junior ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2009)","Professor Adjunto da Universidade Federal de Mato Grosso do Sul , Brasil"
Alexandre Tadeu Simon ,NA,"Doutorado em Engenharia de Produção pela Universidade Metodista de Piracicaba, Brasil(2005)",NA
Janaina de Andrea Dernowsek ,Bolsista de Programa de Capacitação Institucional DA,"Doutorado em Ciências Biológicas (Genética) pela Universidade de São Paulo, Brasil(2014)",NA
Selma Shin Shimizu Melnikoff ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(1982)","Professor titular da Universidade de São Paulo , Brasil"
Miguel Antonio Sovierzoski ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal de Santa Catarina, Brasil(2009)","Professor da Universidade Tecnológica Federal do Paraná , Brasil"
Danielo Gonçalves Gomes ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Réseaux et Télécoms pelo Université D'Evry Val D'Essonne, França(2004)","Professor Adjunto da Universidade Federal do Ceará , Brasil"
Vitor Hugo Ferreira ,NA,"Doutorado em Engenharia Elétrica pelo Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa de Engenharia, Brasil(2008)","Professor Adjunto da Universidade Federal Fluminense , Brasil"
Paulo José Amaral Serni ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1999)","Professor Assistente Doutor da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Yandre Maldonado e Gomes da Costa ,Bolsista de Pós-doutorado Júnior | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciência da Computação pela Universidade Federal do Paraná, Brasil(2013)","Professor Adjunto da Universidade Estadual de Maringá , Brasil"
Julio Baldisserotto ,NA,"Doutorado em Gerontologia Biomédica pela Pontifícia Universidade Católica, Brasil(2003)","Professor Associado IV da Universidade Federal do Rio Grande do Sul , Brasil"
Herman Augusto Lepikson ,NA,"Doutorado em Engenharia Mecânica pela Universidade Federal de Santa Catarina, Brasil(1998)",NA
Emmanuel Gomes Ciolac ,NA,"Doutorado em Cardiologia pela Universidade de São Paulo, Brasil(2010)","Professor Adjunto da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Edmundo Sérgio Spoto ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2000)","Professor Adjunto da Universidade Federal de Goiás , Brasil"
Luiz Gonzaga de Castro Junior ,NA,"Doutorado em Economia Aplicada pela Universidade de São Paulo, Brasil(1999)","Professor Associado I da Universidade Federal de Lavras , Brasil"
Markus Endler ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2 | Orientador de Doutorado,"Doutorado em Informatik pelo Technische Universitat Berlim, Alemanha(1992)","Professor Associado da Pontifícia Universidade Católica do Rio de Janeiro , Brasil"
Augusto José Venâncio Neto ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Informática pela Universidade de Coimbra, Portugal(2008)","Professor Associado I da Universidade Federal do Rio Grande do Norte , Brasil"
Gustavo Maia Souza ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ciências Biológicas (Biologia Vegetal) pela Universidade Estadual Paulista Júlio de Mesquita Filho, Brasil(2001)","Professor Titular-Livre da Universidade Federal de Pelotas , Brasil"
Otávio Noura Teixeira ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal do Pará, Brasil(2012)","Professor Adjunto - Classe A - Nível I da Universidade Federal do Pará , Brasil"
Benedito Donizeti Bonatto ,NA,"Doutorado em Ph D In Electrical And Computer Engineering pela The University Of British Columbia Vancouver Bc Canadá, Brasil(2001)","Professor Associado da Universidade Federal de Itajubá , Brasil"
Joaquim Ferreira Martins Filho ,Bolsista de Produtividade em Pesquisa 1C | Orientador de Doutorado,"Doutorado em Engenharia Eletrônica pela University of Glasgow, Escócia(1995)","Professor Titular da Universidade Federal de Pernambuco , Brasil"
Vinicius Cardoso Garcia ,NA,"Doutorado em Ciências da Computação pela Universidade Federal de Pernambuco, Brasil(2010)","Professor Adjunto IV da Universidade Federal de Pernambuco , Brasil"
Angelica Castilho Alonso ,NA,"Doutorado em Fisiopatologia Experimental pelo HOSPITAL DAS CLÍNICAS-FMUSP, Brasil(2012)","Professor Titular da Universidade São Judas Tadeu , Brasil"
Tiaraju Asmuz Diverio ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(1995)",NA
Cristiano André da Costa ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2008)","Professor Titular da Universidade do Vale do Rio dos Sinos , Brasil"
Alberto Cliquet Junior ,Bolsista de Produtividade em Pesquisa 1A | Orientador de Doutorado,"Doutorado em Bioengineering pela University of Strathclyde, Escócia(1988)",NA
Manoel Gomes de Mendonça Neto ,NA,"Doutorado em Ciência da Computação pela Universidade de Maryland Em College Park, Estados Unidos(1997)",NA
Luiz Cesar Ribeiro Carpinetti ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia pela University of Warwick, Inglaterra(1994)","Professor Titular (MS 6) da Escola de Engenharia de São Carlos , Brasil"
Djamel Fawzi Hadj Sadok ,Bolsista de Produtividade em Pesquisa 1C | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Computer Science pela University of Kent, Inglaterra(1990)","Professor Titular da Universidade Federal de Pernambuco , Brasil"
Rafael Timóteo de Sousa Jr ,NA,"Doutorado em Processamento de Sinais e Telecomunicações pelo Université de Rennes I Rennes, França(1988)","Professor Pesquisador da Universidade de Brasília , Brasil"
Edilson Ferneda ,NA,"Doutorado em Ciência da Computação pelo LIRMM-Université Montpellier II, França(1992)","Professor Titular da Universidade Católica de Brasília , Brasil"
José Luís Almada Güntzel ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2000)","Professor Associado 4 da Universidade Federal de Santa Catarina , Brasil"
Lirio Schaeffer ,Bolsista de Produtividade em Pesquisa 1A | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Conformação Mecânica pela RWTHA Aachen University, Alemanha(1982)","Professor títular da Universidade Federal do Rio Grande do Sul , Brasil"
Luiz Satoru Ochi ,Bolsista de Produtividade em Pesquisa 1C | Orientador de Doutorado,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(1989)",NA
Raimundo Carlos Silvério Freire ,Bolsista de Produtividade em Pesquisa 1A | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pelo Institut National Polytechnique de Lorraine, França(1988)","Professor Associado da Universidade Federal de Campina Grande , Brasil"
Renata Pontin de Mattos Fortes ,NA,"Doutorado em Física Computacional - IFSC pela Universidade de São Paulo, Brasil(1996)","PROFESSOR ASSOCIADO 2 da Universidade de São Paulo , Brasil"
Alberto Barbosa Raposo ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2001)",NA
Alessandro Fabricio Garcia ,Bolsista de Produtividade em Pesquisa 1C | Orientador de Doutorado,"Doutorado em Informática pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(2004)","Professor Assistente da Pontifícia Universidade Católica do Rio de Janeiro , Brasil"
Nivaldo Lemos Coppini ,Bolsista de Produtividade em Pesquisa SR,"Doutorado em Engenharia Mecânica pela Universidade Estadual de Campinas, Brasil(1978)","Professor Assistente III da Universidade de Taubaté , Brasil"
José Demisio Simões da Silva ,NA,"Doutorado em Computação Aplicada pelo Instituto Nacional de Pesquisas Espaciais, Brasil(1999)",NA
Branca Maria Telles Ribeiro ,NA,"Doutorado em Linguistica pela Universidade de Georgetown, Estados Unidos(1988)","Professora Titular do Lesley Universtiy , Estados Unidos"
Stella Naomi Moriguchi ,NA,"Doutorado em Administração pela Universidade de São Paulo, Brasil(2000)","Professor da Universidade Federal de Uberlândia , Brasil"
Luis Fernando de Almeida ,NA,"Doutorado em Engenharia Mecanica pela Universidade Estadual Paulista Júlio de Mesquita Filho, Brasil(2011)","Professor Assistente III da Universidade de Taubaté , Brasil"
Maria Celia de Oliveira ,NA,"Doutorado em Engenharia de Produção pela Universidade Metodista de Piracicaba, Brasil(2012)",NA
Joselito Santos ,NA,"Doutorado em Ciências Sociais pela Universidade Federal do Rio Grande do Norte, Brasil(2012)","Professor do Centro de Ensino Superior e Desenvolvimento , Brasil"
Luciana Alvim Santos Romani ,NA,"Doutorado em Ciências da Computação e Matemática Computacional pela Universidade de São Paulo, Brasil(2010)",NA
CHARLES Ricardo LEITE da Silva ,NA,"Doutorado em Desenho Industrial pela Universidade Estadual Paulista Júlio de Mesquita Filho, Brasil(2014)",NA
Marcelo Finger ,Bolsista de Produtividade em Pesquisa 1B | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em PhD in Computing pela Imperial College of Science and Technology, University of London, Inglaterra(1994)",NA
Alessandra de Ávila Montini ,NA,"Doutorado em Administração pela Universidade de São Paulo, Brasil(2003)",NA
Antonio Cesar Germano Martins ,NA,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(1997)","Professor Assistente Doutor da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Simone do Rocio Senger de Souza ,NA,"Doutorado em Física Aplicada Opção Em Física Computacional pelo Instituto de Física de São Carlos, Brasil(2000)","professor RDIDP do Instituto de Ciências Matemáticas e de Computação , Brasil"
Edmundo Albuquerque de Souza e Silva ,Bolsista de Produtividade em Pesquisa 1A | Orientador de Doutorado,"Doutorado em Ciência da Computação pela University Of California Los Angeles, Estados Unidos(1984)","Professor titular da Universidade Federal do Rio de Janeiro , Brasil"
Antônio Carlos de Abreu Mól ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Engenharia Nuclear pela Universidade Federal do Rio de Janeiro, Brasil(2002)","Tecnologista Senior e Professor de Mestrado da Comissão Nacional de Energia Nuclear , Brasil"
Anderson Alvarenga de Moura Meneses ,NA,"Doutorado em Engenharia Nuclear pelo Instituto Alberto Luiz Coimbra de Pós-Graduação e Pesquisa em Engenharia, Brasil(2010)","Professor Adjunto 3 da Universidade Federal do Oeste do Pará , Brasil"
Marcelo Nogueira Cortimiglia ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Ingegneria Gestionale pelo Politecnico di Milano, Itália(2010)","Professor Adjunto da Universidade Federal do Rio Grande do Sul , Brasil"
Adolfo Bauchspiess ,NA,"Doutorado em Engenharia Elétrica pelo Friedrich Alexander Universität Erlangen-Nürnberg, Alemanha(1995)","Professor Associado IV da Universidade de Brasília , Brasil"
Vilma Aparecida da Silva Fonseca ,NA,"Doutorado em Farmacologia pela Universidade Federal de São Paulo, Brasil(1981)","professora titular do Espaço para o Estudo, Treinamento e Tratamento na prática de Psiquiatria Tr , Brasil"
Getulio Kazue Akabane ,NA,"Doutorado em Administração de Empresas pela Fundação Getulio Vargas - SP, Brasil(1995)",NA
Fernando Mendes de Azevedo ,NA,"Doutorado em Ciências pelo Facultés Universitaires Notre-Dame de la Paix, Bélgica(1993)",NA
Taufik Abrão ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(2001)","Professor Associado C da Universidade Estadual de Londrina , Brasil"
Vilson Jose Leffa ,Bolsista de Produtividade em Pesquisa 1B | Orientador de Doutorado,"Doutorado em Applied Linguistics pela University of Texas System, Estados Unidos(1984)","Professor Adjunto da Universidade Católica de Pelotas , Brasil"
Henrique Pacca Loureiro Luna ,NA,"Doutorado em Automática Otimização pelo Université Toulouse III Paul Sabatier, França(1978)","Professor titular da Universidade Federal de Alagoas , Brasil"
João Porto de Albuquerque ,NA,"Doutorado em Ciência da Computação pela Universidade Estadual de Campinas, Brasil(2006)","Professor Associado da Universidade de São Paulo , Brasil"
Lucia Valeria Ramos de Arruda ,Bolsista de Produtividade em Pesquisa 1C | Orientador de Doutorado,"Doutorado em Automatique Et Traitement Des Signaux pelo Universite de Nice Sophia Antipolis, França(1992)","Professor Titular da Universidade Tecnológica Federal do Paraná , Brasil"
Mário Eduardo Bordon ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(2004)","Professor Assistente Doutor (cargo) da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Edson Luiz Padoin ,NA,"Doutorado em Computação pela Universidade Federal do Rio Grande do Sul, Brasil(2016)",NA
Luiz Pereira Calôba ,Bolsista de Produtividade em Pesquisa 1A | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pelo Université Joseph Fourier - Grenoble I, França(1974)","Professor Titular (Emérito) da Universidade Federal do Rio de Janeiro , Brasil"
Jorge Lima de Magalhães ,NA,"Doutorado em Tecnologia de Processos Químicos e Bioquímicos pela Universidade Federal do Rio de Janeiro, Brasil(2010)",NA
Claudio Kirner ,NA,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(1986)","Professor Adjunto da Universidade Federal de Itajubá , Brasil"
Plácido Rogério Pinheiro ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia de Sistemas e Computação pela Universidade Federal do Rio de Janeiro, Brasil(1998)","Professor titular da Universidade de Fortaleza , Brasil"
Ildeberto Muniz de Almeida ,NA,"Doutorado em Saúde Pública pela Universidade de São Paulo, Brasil(2001)",NA
Henrique Rozenfeld ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Engenharia Mecânica pela RWTHA Aachen University, Alemanha(1988)","Professor titular da Universidade de São Paulo , Brasil"
Paulo Antônio de Souza Júnior ,NA,"Doutorado em Ciências Naturais pelo Johannes Gutenberg Universität Mainz, Alemanha(2004)",NA
Mischel Carmen Neyra Belderrain ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Aeronâutica e Mecânica pelo Instituto Tecnológico de Aeronáutica, Brasil(1998)","Professor Titular do Instituto Tecnológico de Aeronáutica , Brasil"
Rodolfo Andrade de Gouveia Vilela ,NA,"Doutorado em Saúde Coletiva pela Universidade Estadual de Campinas, Brasil(2002)","Professor Livre Docente (Associado) da Universidade de São Paulo , Brasil"
Anamaria de Moraes ,NA,"Doutorado em Comunicação pela Universidade Federal do Rio de Janeiro, Brasil(1992)","Professor Titular da Pontifícia Universidade Católica do Rio de Janeiro , Brasil"
Luís Eduardo Machado ,NA,"Doutorado em Christian Doctor of Philosophy in Business Adminis pela Florida Christian University, Estados Unidos(2007)","Professor Convidado da Fundação Getúlio Vargas , Brasil"
Marcelo Marcio Soares ,NA,"Doutorado em Ergonomia pela Loughborough University, Inglaterra(1999)","Professor titular da Hunan University , China"
Ivan Maynart Tavares ,NA,"Doutorado em Medicina (Oftalmologia) pela Universidade Federal de São Paulo, Brasil(2004)","Professor Adjunto de Oftalmologia da Universidade Federal de São Paulo , Brasil"
Marcos José Santana ,NA,"Doutorado em Eletrônica e Computação pela University of Southampton, Inglaterra(1990)","Professor Associado da Universidade de São Paulo , Brasil"
Alexandre César Rodrigues da Silva ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1993)","Professor Titular da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Marco Antonio Gutierrez ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade de São Paulo, Brasil(1995)",NA
Germano Lambert-Torres ,NA,"Doutorado em Engenharia Elétrica pelo Ecole Polytechnique de Montreal, Canadá(1990)",NA
Roberto Antonio Zucchi ,Bolsista de Produtividade em Pesquisa 1B | Orientador de Doutorado,"Doutorado em Pós Graduação Em Entomologia pela Universidade de São Paulo, Brasil(1978)","Professor Titular da Universidade de São Paulo , Brasil"
Mario Antonio Ribeiro Dantas ,NA,"Doutorado em Computer Science pela University of Southampton, Inglaterra(1997)",NA
Elizabeth Pacheco Batista Fontes ,Bolsista de Produtividade em Pesquisa 1A | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Biologia Molecular pela North Carolina State University, Estados Unidos(1991)","Professora Titular da Universidade Federal de Viçosa , Brasil"
Aura Conci ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Civil pela Pontifícia Universidade Católica do Rio de Janeiro, Brasil(1988)",NA
Leonardo Fernando Cruz Basso ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Economia pelo New School for Social Research, Estados Unidos(1984)","Professor titular da Universidade Mackenzie , Brasil"
José Alberto Quintanilha ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Engenharia de Transportes pela Universidade de São Paulo, Brasil(1996)","Professor Sênior da Universidade de São Paulo , Brasil"
Vicelma Luiz Cardoso ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Doutorado,"Doutorado em Engenharia Química pela Universidade Estadual de Campinas, Brasil(1994)","Professor Associado IV da Universidade Federal de Uberlândia , Brasil"
Aparecido Augusto de Carvalho ,Bolsista de Produtividade em Pesquisa 1B | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Física pela Universidade de São Paulo, Brasil(1987)","Professor Titular da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Galdenoro Botura Junior ,NA,"Doutorado em Engenharia Elétrica pela Universidade Estadual de Campinas, Brasil(1991)","Professor Adjunto III - Livre-Docente da Universidade Estadual Paulista Júlio de Mesquita Filho , Brasil"
Marcelo Seido Nagano ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Engenharia Mecânica pela Universidade de São Paulo, Brasil(1999)","Professor Doutor da Universidade de São Paulo , Brasil"
Takashi Yoneyama ,Bolsista de Produtividade em Pesquisa 1A | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela University of London, Inglaterra(1983)","Professor Titular do Instituto Tecnológico de Aeronáutica , Brasil"
José Franco da Silveira Filho ,Bolsista de Produtividade em Pesquisa 1A | Orientador de Doutorado,"Doutorado em Ciências Biológicas (Bioquímica) pela Universidade de São Paulo, Brasil(1979)","Professor Adjunto da Universidade Federal de São Paulo , Brasil"
Paulo Cesar Cortez ,Bolsista de Produtividade Desen. Tec. e Extensão Inovadora 1D | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Federal da Paraíba, Brasil(1996)","Professor Titular da Universidade Federal do Ceará , Brasil"
Francisco Assis da Silva ,NA,"Doutorado em Ciências, programa de Engenharia Elétrica pela Universidade de São Paulo, Brasil(2012)",NA
Adriano de Oliveira Andrade ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em PhD in Cybernetics pela University of Reading, Inglaterra(2005)","Professor Associado II da Universidade Federal de Uberlândia , Brasil"
Fabyano Fonseca e Silva ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Estatística e Experimentação Agropecuária pela Universidade Federal de Lavras, Brasil(2006)","Professor Adjunto da Universidade Federal de Viçosa , Brasil"
Luiz Carlos Estraviz Rodriguez ,NA,"Doutorado em Forest Management and Biometrics pela University of Georgia, Estados Unidos(1993)","Professor Associado 2 da Universidade de São Paulo , Brasil"
Richard Demo Souza ,Bolsista de Produtividade em Pesquisa 1C | Orientador de Doutorado,"Doutorado em Engenharia Elétrica pela Universidade Federal de Santa Catarina, Brasil(2003)","Professor Associado III da Universidade Federal de Santa Catarina , Brasil"
Alejandro César Frery Orgambide ,Bolsista de Produtividade em Pesquisa 1B - CA CC | Orientador de Doutorado,"Doutorado em Computação Aplicada pelo Instituto Nacional de Pesquisas Espaciais, Brasil(1993)","Professor titular da Universidade Federal de Alagoas , Brasil"
Sergio Eduardo de Carvalho Machado ,NA,"Doutorado em Psiquiatria e Saúde Mental pela Universidade Federal do Rio de Janeiro, Brasil(2012)","Professor do Programa de Pós-Graduação da Universidade Salgado de Oliveira , Brasil"
Hélio Pedrini ,Bolsista de Produtividade em Pesquisa 2 | Orientador de Mestrado | Orientador de Doutorado,"Doutorado em Engenharia Eletrica pelo Rensselaer Polytechnic Institute, Estados Unidos(2000)",NA
Jose Lino Oliveira Bueno ,Bolsista de Produtividade em Pesquisa 1B | Orientador de Doutorado,"Doutorado em Psicologia (Psicologia Experimental) pela Universidade de São Paulo, Brasil(1977)","Professor Titular da Universidade de São Paulo , Brasil"
Marcelo Sampaio de Alencar ,Bolsista de Produtividade em Pesquisa 1D | Orientador de Doutorado,"Doutorado em Ph.D. em Engenharia Eletrica pela University of Waterloo, Canadá(1993)",NA
Francisco Assis de Oliveira Nascimento ,NA,"Doutorado em Engenharia Elétrica pela Universidade Federal do Rio de Janeiro, Brasil(1988)","Professor Associado da Universidade de Brasília , Brasil"
Rodrigo Affonseca Bressan ,NA,"Doutorado em PhD pelo Institute Of Psychiatry King's College London, Grã-Bretanha(2003)","Visiting Professor do Institute Of Psychiatry King's College London , Grã-Bretanha"
Ricardo Nitrini ,Bolsista de Produtividade em Pesquisa 1B | Orientador de Doutorado,"Doutorado em Neurologia pela Faculdade de Medicina da Universidade de São Paulo, Brasil(1986)","Professor Associado da Universidade de São Paulo , Brasil"
Luis Enrique Zárate Gálvez ,Bolsista de Produtividade em Pesquisa 2,"Doutorado em Engenharia Metalúrgica e de Minas pela Universidade Federal de Minas Gerais, Brasil(1998)",NA
André Luiz de Lima Reda ,NA,"Doutorado em Engenharia de Sistemas Ambientais pela University of London, Inglaterra(1996)",NA
